+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  1 |   2 |        NEW |     READY |
|                  2 |   3 |        NEW |     READY |
|                  2 |   2 |      READY |   RUNNING |
|                  3 |   4 |        NEW |     READY |
|                  4 |   5 |        NEW |     READY |
|                  4 |   3 |      READY |   RUNNING |
|                  6 |   4 |      READY |   RUNNING |
|                  8 |   5 |      READY |   RUNNING |
|                 27 |   4 |    RUNNING |   WAITING |
|                 31 |   4 |    WAITING |     READY |
|                 35 |   2 |    RUNNING |   WAITING |
|                 35 |   4 |      READY |   RUNNING |
|                 37 |   1 |    RUNNING |   WAITING |
|                 38 |   5 |    RUNNING |   WAITING |
|                 41 |   2 |    WAITING |     READY |
|                 42 |   1 |    WAITING |     READY |
|                 43 |   5 |    WAITING |     READY |
|                 43 |   2 |      READY |   RUNNING |
|                 45 |   1 |      READY |   RUNNING |
|                 47 |   5 |      READY |   RUNNING |
|                 50 |   4 |    RUNNING |   WAITING |
|                 54 |   4 |    WAITING |     READY |
|                 58 |   4 |      READY |   RUNNING |
|                 66 |   3 |    RUNNING |   WAITING |
|                 74 |   3 |    WAITING |     READY |
|                 75 |   5 |    RUNNING |   WAITING |
|                 76 |   2 |    RUNNING |   WAITING |
|                 77 |   4 |    RUNNING |   WAITING |
|                 78 |   3 |      READY |   RUNNING |
|                 80 |   5 |    WAITING |     READY |
|                 81 |   4 |    WAITING |     READY |
|                 82 |   1 |    RUNNING |   WAITING |
|                 82 |   2 |    WAITING |     READY |
|                 82 |   5 |      READY |   RUNNING |
|                 84 |   4 |      READY |   RUNNING |
|                 85 |   2 |      READY |   RUNNING |
|                 87 |   1 |    WAITING |     READY |
|                 91 |   1 |      READY |   RUNNING |
|                104 |   4 |    RUNNING |   WAITING |
|                108 |   4 |    WAITING |     READY |
|                110 |   5 |    RUNNING |   WAITING |
|                112 |   4 |      READY |   RUNNING |
|                115 |   5 |    WAITING |     READY |
|                118 |   2 |    RUNNING |   WAITING |
|                119 |   5 |      READY |   RUNNING |
|                124 |   2 |    WAITING |     READY |
|                128 |   2 |      READY |   RUNNING |
|                131 |   4 |    RUNNING |   WAITING |
|                132 |   1 |    RUNNING |   WAITING |
|                135 |   4 |    WAITING |     READY |
|                137 |   1 |    WAITING |     READY |
|                138 |   3 |    RUNNING |   WAITING |
|                138 |   4 |      READY |   RUNNING |
|                141 |   1 |      READY |   RUNNING |
|                144 |   5 |    RUNNING |   WAITING |
|                146 |   3 |    WAITING |     READY |
|                149 |   5 |    WAITING |     READY |
|                149 |   3 |      READY |   RUNNING |
|                153 |   5 |      READY |   RUNNING |
|                156 |   4 |    RUNNING | TERMINATED |
|                157 |   2 |    RUNNING |   WAITING |
|                159 |  10 |        NEW |     READY |
|                162 |  10 |      READY |   RUNNING |
|                163 |   2 |    WAITING |     READY |
|                167 |   2 |      READY |   RUNNING |
|                180 |   1 |    RUNNING |   WAITING |
|                181 |   5 |    RUNNING |   WAITING |
|                185 |  10 |    RUNNING |   WAITING |
|                185 |   1 |    WAITING |     READY |
|                186 |   5 |    WAITING |     READY |
|                187 |   1 |      READY |   RUNNING |
|                189 |  10 |    WAITING |     READY |
|                189 |   5 |      READY |   RUNNING |
|                193 |  10 |      READY |   RUNNING |
