+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |          10 |  -1, -1, -1, 15, -1, -1,  |                90 |                90 |
|            0 |          12 |  -1, -1, -1, 15, -1, 12,  |                88 |                88 |
|            0 |          27 |   -1, -1, 1, 15, -1, 12,  |                73 |                73 |
|            5 |          35 |    -1, -1, 1, 15, 2, 12,  |                65 |                65 |
|           14 |          60 |     -1, 3, 1, 15, 2, 12,  |                40 |                40 |
|           66 |          50 |     -1, 3, 1, -1, 2, 12,  |                50 |                50 |
|          130 |          48 |     -1, 3, 1, -1, 2, -1,  |                52 |                52 |
|          147 |          40 |    -1, 3, 1, -1, -1, -1,  |                60 |                60 |
|          175 |          15 |   -1, -1, 1, -1, -1, -1,  |                85 |                85 |
|          224 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
