+------------------------------------------------------------------------------------------+
| Time of Event | Memory Used |      Partitions State     | Total Free Memory | Usable Free Memory |
+------------------------------------------------------------------------------------------+
|            0 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
|            0 |          10 |  -1, -1, -1, 15, -1, -1,  |                90 |                90 |
|            0 |          12 |  -1, -1, -1, 15, -1, 12,  |                88 |                88 |
|            0 |          27 |   -1, -1, 1, 15, -1, 12,  |                73 |                73 |
|           31 |          17 |   -1, -1, 1, -1, -1, 12,  |                83 |                83 |
|           31 |          25 |    -1, -1, 1, -1, 2, 12,  |                75 |                75 |
|           31 |          35 |     -1, -1, 1, 3, 2, 12,  |                65 |                65 |
|          106 |          33 |     -1, -1, 1, 3, 2, -1,  |                67 |                67 |
|          306 |          18 |    -1, -1, -1, 3, 2, -1,  |                82 |                82 |
|          330 |          10 |   -1, -1, -1, 3, -1, -1,  |                90 |                90 |
|          355 |           0 |  -1, -1, -1, -1, -1, -1,  |               100 |               100 |
