+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  2 |   2 |        NEW |     READY |
|                  4 |   3 |        NEW |     READY |
|                  6 |   4 |        NEW |     READY |
|                  8 |   5 |        NEW |     READY |
|                 20 |   1 |    RUNNING |   WAITING |
|                 20 |   2 |      READY |   RUNNING |
|                 45 |   2 |    RUNNING |   WAITING |
|                 45 |   3 |      READY |   RUNNING |
|                 50 |   1 |    WAITING |     READY |
|                 50 |   1 |      READY |   RUNNING |
|                 70 |   1 |    RUNNING |   WAITING |
|                 75 |   3 |    RUNNING |   WAITING |
|                 75 |   4 |      READY |   RUNNING |
|                 85 |   2 |    WAITING |     READY |
|                 85 |   2 |      READY |   RUNNING |
|                 95 |   3 |    WAITING |     READY |
|                100 |   1 |    WAITING |     READY |
|                100 |   1 |      READY |   RUNNING |
|                120 |   1 |    RUNNING |   WAITING |
|                130 |   2 |    RUNNING |   WAITING |
|                130 |   3 |      READY |   RUNNING |
|                140 |   3 |    RUNNING |   WAITING |
|                150 |   1 |    WAITING |     READY |
|                150 |   1 |      READY |   RUNNING |
|                160 |   3 |    WAITING |     READY |
|                170 |   1 |    RUNNING |   WAITING |
|                170 |   2 |    WAITING |     READY |
|                170 |   2 |      READY |   RUNNING |
|                195 |   2 |    RUNNING |   WAITING |
|                195 |   3 |      READY |   RUNNING |
|                200 |   1 |    WAITING |     READY |
|                200 |   1 |      READY |   RUNNING |
|                220 |   1 |    RUNNING |   WAITING |
|                225 |   3 |    RUNNING |   WAITING |
|                235 |   4 |    RUNNING |   WAITING |
|                235 |   2 |    WAITING |     READY |
|                235 |   2 |      READY |   RUNNING |
|                245 |   3 |    WAITING |     READY |
|                250 |   1 |    WAITING |     READY |
|                250 |   1 |      READY |   RUNNING |
|                270 |   1 |    RUNNING |   WAITING |
|                280 |   2 |    RUNNING |   WAITING |
|                280 |   3 |      READY |   RUNNING |
|                285 |   4 |    WAITING |     READY |
|                290 |   3 |    RUNNING |   WAITING |
|                290 |   4 |      READY |   RUNNING |
|                300 |   1 |    WAITING |     READY |
|                300 |   1 |      READY |   RUNNING |
|                310 |   3 |    WAITING |     READY |
|                320 |   1 |    RUNNING |   WAITING |
|                320 |   2 |    WAITING |     READY |
|                320 |   2 |      READY |   RUNNING |
|                345 |   2 |    RUNNING |   WAITING |
|                345 |   3 |      READY |   RUNNING |
|                350 |   1 |    WAITING |     READY |
|                350 |   1 |      READY |   RUNNING |
|                370 |   1 |    RUNNING |   WAITING |
|                375 |   3 |    RUNNING |   WAITING |
|                385 |   2 |    WAITING |     READY |
|                385 |   2 |      READY |   RUNNING |
|                395 |   3 |    WAITING |     READY |
|                400 |   1 |    WAITING |     READY |
|                400 |   1 |      READY |   RUNNING |
|                420 |   1 |    RUNNING |   WAITING |
|                430 |   2 |    RUNNING |   WAITING |
|                430 |   3 |      READY |   RUNNING |
|                440 |   3 |    RUNNING |   WAITING |
|                450 |   4 |    RUNNING |   WAITING |
|                450 |   1 |    WAITING |     READY |
|                450 |   1 |      READY |   RUNNING |
|                460 |   3 |    WAITING |     READY |
|                470 |   1 |    RUNNING | TERMINATED |
|                470 |   2 |    WAITING |     READY |
|                470 |   2 |      READY |   RUNNING |
|                495 |   2 |    RUNNING |   WAITING |
