+------------------------------------------------+
| Time of Transition | PID | Old State | New State |
+------------------------------------------------+
|                  0 |   1 |        NEW |     READY |
|                  0 |   1 |      READY |   RUNNING |
|                  5 |   1 |    RUNNING |   WAITING |
|                  5 |   2 |        NEW |     READY |
|                  5 |   2 |      READY |   RUNNING |
|                 11 |   2 |    RUNNING |   WAITING |
|                 11 |   1 |    WAITING |     READY |
|                 11 |   3 |        NEW |     READY |
|                 11 |   4 |        NEW |     READY |
|                 11 |   1 |      READY |   RUNNING |
|                 16 |   1 |    RUNNING |   WAITING |
|                 16 |   2 |    WAITING |     READY |
|                 16 |   5 |        NEW |     READY |
|                 16 |   3 |      READY |   RUNNING |
|                 26 |   3 |    RUNNING |   WAITING |
|                 26 |   1 |    WAITING |     READY |
|                 26 |   4 |      READY |   RUNNING |
|                 29 |   4 |    RUNNING |   WAITING |
|                 29 |   2 |      READY |   RUNNING |
|                 35 |   2 |    RUNNING |   WAITING |
|                 35 |   3 |    WAITING |     READY |
|                 35 |   4 |    WAITING |     READY |
|                 35 |   5 |      READY |   RUNNING |
|                 39 |   5 |    RUNNING |   WAITING |
|                 39 |   2 |    WAITING |     READY |
|                 39 |   1 |      READY |   RUNNING |
|                 44 |   1 |    RUNNING |   WAITING |
|                 44 |   5 |    WAITING |     READY |
|                 44 |   3 |      READY |   RUNNING |
|                 54 |   3 |    RUNNING |   WAITING |
|                 54 |   1 |    WAITING |     READY |
|                 54 |   4 |      READY |   RUNNING |
|                 57 |   4 |    RUNNING |   WAITING |
|                 57 |   2 |      READY |   RUNNING |
|                 63 |   2 |    RUNNING |   WAITING |
|                 63 |   3 |    WAITING |     READY |
|                 63 |   4 |    WAITING |     READY |
|                 63 |   5 |      READY |   RUNNING |
|                 67 |   5 |    RUNNING |   WAITING |
|                 67 |   2 |    WAITING |     READY |
|                 67 |   1 |      READY |   RUNNING |
|                 72 |   1 |    RUNNING |   WAITING |
|                 72 |   5 |    WAITING |     READY |
|                 72 |   3 |      READY |   RUNNING |
|                 82 |   3 |    RUNNING |   WAITING |
|                 82 |   1 |    WAITING |     READY |
|                 82 |   4 |      READY |   RUNNING |
|                 85 |   4 |    RUNNING |   WAITING |
|                 85 |   2 |      READY |   RUNNING |
|                 91 |   2 |    RUNNING |   WAITING |
|                 91 |   3 |    WAITING |     READY |
|                 91 |   4 |    WAITING |     READY |
|                 91 |   5 |      READY |   RUNNING |
|                 95 |   5 |    RUNNING |   WAITING |
|                 95 |   2 |    WAITING |     READY |
|                 95 |   1 |      READY |   RUNNING |
|                100 |   1 |    RUNNING |   WAITING |
|                100 |   5 |    WAITING |     READY |
|                100 |   3 |      READY |   RUNNING |
|                110 |   3 |    RUNNING | TERMINATED |
|                110 |   1 |    WAITING |     READY |
|                110 |   6 |        NEW |     READY |
|                110 |   4 |      READY |   RUNNING |
|                113 |   4 |    RUNNING |   WAITING |
|                113 |   2 |      READY |   RUNNING |
|                119 |   2 |    RUNNING |   WAITING |
|                119 |   4 |    WAITING |     READY |
|                119 |   5 |      READY |   RUNNING |
|                123 |   5 |    RUNNING |   WAITING |
|                123 |   2 |    WAITING |     READY |
|                123 |   1 |      READY |   RUNNING |
|                128 |   1 |    RUNNING |   WAITING |
|                128 |   5 |    WAITING |     READY |
|                128 |   6 |      READY |   RUNNING |
|                130 |   6 |    RUNNING |   WAITING |
